phone,name
"
+971 44190152
","
Victoria's Secret
"
"
+971 43927456
","
Vilebrequin
"
"
+971 43411211
","
Ahmed Seddiqi & Sons
"
"
+971 43414499
","
Al Futtaim Jewellery
"
"
+971 501288170
","
Al Zain Jewellery
"
"
+971 43444077
","
Atasay
"
"
+971 43444077
","
Atasay
"
"
+971 43411121
","
Audemars Piguet
"
"
+971 558697521
","
Belle Etoile
"
"
+971 43212951
","
Blancpain
"
"
+971 43410039
","
Boucheron
"
"
+971 43411165
","
Breitling
"
"
+971 44094753
","
Carrefour
"
"
+971 43410410
","
Al Shareif Gallery
"
"
+971 46097532
","
Chattels & More
"
"
+971 43990125
","
Crate & Barrel
"
"
800 694663
","
Home Centre
"
"
+971 43850139
","
Jashanmal
"
"
+971 565268855
","
Lakeland
"
"
+971 43411988
","
Lifestyle @ Centrepoint
"
"
+971 43951143
","
Maisons Du Monde
"
"
+971 43410314
","
Marina Exotic Home Interiors
"
"
+971 43409116
","
Mood
"
"
+971 43476426
","
Abercrombie & Fitch
"
"
+971 43479333
","
Aizone
"
"
+971 43255628
","
AllSaints
"
"
+971 44190516
","
American Eagle Outfitters®
"
"
+971 529958695
","
Aéropostale
"
"
+971 43410224
","
Bershka
"
"
+971 43406789
","
Brooks Brothers
"
"
+971 43411555
","
Cerruti Jeans
"
"
+971 44190857
","
COS - Collection of Style
"
"
+971 43411395
","
Diesel
"
"
+971 43414256
","
Boggi Milano
"
"
+971 43412121
","
Corneliani
"
"
+971 43414070
","
Jack & Jones
"
"
+971 43933527
","
Suit Supply
"
"
+971 3792160
","
T.M. Lewin
"
"
+971 43411121
","
Audemars Piguet
"
"
+971 43951769
","
Balenciaga
"
"
+971 43470135
","
Bally
"
"
+971 43996443
","
Berluti
"
"
+971 43414190
","
BMores
"
"
+971 43951201
","
Bottega Veneta
"
"
+971 43410039
","
Boucheron
"
"
+971 43411165
","
Breitling
"
"
+971 43945531
","
Brunello Cucinelli
"
"
+971 43998243
","
Burberry
"
"
+971 43414700
","
Al Motahajiba
"
"
+971 558956079
","
BCBGMAXAZRIA
"
"
+971 43951659
","
BEBE
"
"
+971 43410737
","
Betty Barclay
"
"
+971 43414343
","
DKNY
"
"
+971 43430959
","
Elisabetta Franchi
"
"
+971 43413412
","
Forever 21
"
"
+971 43413222
","
Hanayen
"
"
+971 42221890
","
IRO
"
"
+971 43951300
","
Isabel Marant
"
"
+971 43476426
","
Abercrombie & Fitch Kids
"
"
+971 43950001
","
Bonpoint (In Boutique 1)
"
"
+971 43998265
","
Burberry Children
"
"
+971 565450108
","
Carter's
"
"
+971 43931448
","
D&G Kids
"
"
+971 42891663
","
Emporio Armani Kids
"
"
+971 44190150
","
H&M
"
"
+971 43209545
","
Jacadi
"
"
+971 562768330
","
Justice
"
"
+971 44190521
","
Mothercare
"
"
+971 43409052
","
Accessorize
"
"
+971 552136075
","
Aldo
"
"
+971 552136084
","
Aldo Accessories
"
"
+971 43549735
","
Athlete’s Co.
"
"
+971 43951769
","
Balenciaga
"
"
+971 43470135
","
Bally
"
"
+971 558697521
","
Belle Etoile
"
"
 +971 43996443
","
Berluti
"
"
+971 43472721
","
Birkenstock
"
"
+971 552136085
","
Call it Spring
"
"
+971 43409052
","
Accessorize
"
"
+971 43479333
","
Aizone
"
"
+971 552136084
","
Aldo Accessories
"
"
+971 44190516
","
American Eagle Outfitters®
"
"
+971 43411121
","
Audemars Piguet
"
"
+971 43951769
","
Balenciaga
"
"
+971 43951659
","
BEBE
"
"
+971 43410224
","
Bershka
"
"
+971 43410737
","
Betty Barclay
"
"
+971 43414190
","
BMores
"
"
8000 4441819
","
Apple Store
"
"
+971 43414868
","
Better Life
"
"
+971 43256002
","
Bose
"
"
+971 43996970
","
E City
"
"
+971 43996562
","
Emax
"
"
+971 43414555
","
Grand Stores Digital
"
"
+971 43414130
","
Harman House
"
"
+971 551332256
","
HiPhone Telecom
"
"
+971 43413141
","
Huawei
"
"
+971 43410101
","
Jumbo
"
"
+971 43951200
","
Boutique 1
"
"
800 6927
","
Centrepoint
"
"
+971 44190472
","
Debenhams
"
"
+971 44098888
","
Harvey Nichols Dubai
"
"
800 62637
","
Marks & Spencer
"
"
+971 43415758
","
Borders
"
"
+971 43414177
","
Early Learning Centre
"
"
+971 569863757
","
Fandom
"
"
+971 565337951
","
Geekay Games (First Level)
"
"
+971 43476888
","
Hallmark
"
"
+971 42316275
","
Lego
"
"
+971 43411988
","
Lifestyle @ Centrepoint
"
"
+971 43972806
","
Paperchase
"
"
+971 43412473
","
The Toy Store
"
"
+971 43414353
","
Virgin Megastore
"
